     2.000     0.000     2.000     0.000     0.000     0.000     2.000     1.000     0.000     0.000     2.000     0.000     0.552     0.577 104951
     1.000     1.000     1.000     0.000     0.000     2.000     1.000     0.000     1.000     0.000     0.000     0.000     0.056     0.541 104961
     2.000     0.000     0.000     0.000     0.000     0.000     1.000     1.000     1.000     0.000     1.000     0.000    -0.020     0.558 105061
     1.000     1.000     2.000     1.000     1.000     1.000     1.000     1.000     1.000     0.000     2.000     0.000     1.218     0.495 105101
     0.000     1.000     2.000     0.000     0.000     0.000     0.000     1.000     0.000     0.000     1.000     0.000    -0.377     0.583 105141
     0.000     0.000     0.000     0.000     1.000     0.000     0.000     0.000     0.000     0.000     1.000     0.000    -1.173     0.632 105151
     1.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     1.000     0.000    -1.242     0.623 105171
     2.000     1.000     1.000     1.000     1.000     0.000     1.000     0.000     1.000     0.000     0.000     0.000     0.480     0.520 105261
     2.000     1.000     2.000     0.000     2.000     1.000     2.000     2.000     2.000     0.000     1.000     0.000     1.747     0.554 105271
     0.000     2.000     1.000     0.000     2.000     2.000     2.000     2.000     1.000     1.000     2.000     0.000     1.930     0.570 105281
     2.000     0.000     2.000     0.000     0.000     1.000     2.000     1.000     0.000     1.000     2.000     0.000     1.155     0.558 105291
     2.000     2.000     1.000     0.000     0.000     0.000     1.000     1.000     1.000     0.000     2.000     0.000     0.785     0.531 105391
     0.000     0.000     1.000     1.000     1.000     1.000     1.000     2.000     0.000     0.000     2.000     0.000     0.670     0.545 105511
     0.000     0.000     2.000     2.000     2.000     0.000     2.000     2.000     0.000     0.000     2.000     0.000     1.187     0.620 105521
     2.000     0.000     2.000     0.000     0.000     1.000     1.000     0.000     1.000     0.000     1.000     0.000     0.370     0.545 105531
     2.000     2.000     0.000     1.000     1.000     2.000     2.000     1.000     1.000     0.000     2.000     0.000     1.702     0.542 105551
     2.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     2.000     0.000    -0.759     0.640 105581
     2.000     2.000     2.000     0.000     0.000     0.000     2.000     0.000     1.000     0.000     2.000     0.000     0.972     0.566 105591
     2.000     0.000     1.000     0.000     0.000     0.000     1.000     1.000     1.000     0.000     1.000     0.000     0.174     0.534 105601
     2.000     1.000     1.000     1.000     0.000     0.000     2.000     2.000     1.000     0.000     2.000     0.000     1.210     0.542 105611
     1.000     0.000     0.000     0.000     2.000     0.000     1.000     2.000     2.000     0.000     2.000     0.000     0.640     0.591 105621
     2.000     0.000     2.000     0.000     1.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000    -0.436     0.614 105651
     2.000     0.000     1.000     0.000     1.000     1.000     0.000     0.000     0.000     0.000     2.000     0.000     0.138     0.551 105661
     0.000     1.000     0.000     0.000     0.000     0.000     0.000     1.000     0.000     0.000     1.000     0.000    -0.816     0.601 105671
     2.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     1.000     0.000    -1.007     0.632 105741
     2.000     1.000     2.000     0.000     2.000     0.000     0.000     0.000     0.000     0.000     2.000     0.000     0.442     0.569 105761
     2.000     2.000     2.000     1.000     0.000     0.000     2.000     1.000     1.000     0.000     2.000     0.000     1.521     0.546 105791
     0.000     1.000     2.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     2.000     0.000    -0.467     0.613 105911
     1.000     0.000     1.000     0.000     0.000     1.000     1.000     0.000     1.000     0.000     1.000     0.000    -0.059     0.530 105931
     2.000     2.000     2.000     0.000     1.000     2.000     1.000     1.000     0.000     0.000     2.000     0.000     1.308     0.540 105951
     1.000     0.000     0.000     0.000     2.000     0.000     1.000     0.000     0.000     0.000     0.000     0.000    -0.716     0.615 105961
     1.000     2.000     1.000     1.000     2.000     0.000     2.000     1.000     1.000     0.000     1.000     0.000     1.126     0.526 106131
     2.000     2.000     1.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000    -0.495     0.613 106161
     1.000     0.000     0.000     0.000     1.000     0.000     0.000     0.000     0.000     0.000     1.000     0.000    -0.897     0.591 106191
     2.000     0.000     2.000     0.000     0.000     0.000     2.000     2.000     2.000     0.000     2.000     0.000     1.192     0.604 106261
     0.000     0.000     0.000     0.000     0.000     0.000     1.000     1.000     0.000     0.000     2.000     0.000    -0.554     0.613 106321
     1.000     0.000     1.000     1.000     0.000     0.000     0.000     1.000     0.000     0.000     0.000     0.000    -0.499     0.578 106351
     0.000     0.000     0.000     0.000     0.000     0.000     0.000     1.000     0.000     0.000     0.000     0.000    -1.502     0.685 106371
     2.000     0.000     0.000     0.000     1.000     0.000     0.000     0.000     0.000     0.000     2.000     0.000    -0.410     0.603 106401
     2.000     1.000     2.000     0.000     2.000     2.000     1.000     1.000     0.000     0.000     2.000     0.000     1.295     0.542 106481
     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000    -1.999     0.734 106501
     0.000     1.000     2.000     1.000     1.000     1.000     0.000     0.000     0.000     0.000     2.000     0.000     0.458     0.549 106541
     2.000     0.000     1.000     1.000     0.000     1.000     1.000     0.000     0.000     0.000     1.000     0.000     0.186     0.536 106621
     2.000     0.000     1.000     0.000     2.000     0.000     2.000     0.000     0.000     0.000     2.000     0.000     0.453     0.575 106671
     2.000     1.000     2.000     1.000     1.000     0.000     0.000     1.000     0.000     0.000     2.000     0.000     0.827     0.532 106741
     2.000     0.000     0.000     0.000     2.000     2.000     1.000     0.000     0.000     0.000     1.000     0.000     0.150     0.579 106791
     2.000     0.000     2.000     1.000     2.000     0.000     2.000     2.000     1.000     0.000     2.000     0.000     1.751     0.567 106881
     2.000     0.000     1.000     0.000     0.000     0.000     1.000     1.000     0.000     0.000     2.000     0.000     0.139     0.552 106921
     2.000     2.000     0.000     0.000     0.000     0.000     1.000     1.000     0.000     0.000     2.000     0.000     0.350     0.568 106941
     1.000     0.000     1.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     1.000     0.000    -0.931     0.586 106971
     2.000     1.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000    -0.943     0.638 107011
     1.000     1.000     2.000     0.000     1.000     0.000     1.000     1.000     2.000     0.000     1.000     0.000     0.642     0.520 107021
     1.000     0.000     1.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     1.000     0.000    -0.931     0.586 107031
     0.000     2.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     2.000     0.000    -0.825     0.658 107191
     1.000     2.000     1.000     0.000     1.000     0.000     1.000     1.000     0.000     0.000     1.000     0.000     0.266     0.519 107201
     1.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     1.000     0.000     1.000     0.000    -0.880     0.594 107251
     0.000     1.000     1.000     0.000     0.000     0.000     0.000     0.000     1.000     0.000     1.000     0.000    -0.546     0.569 108371
     2.000     2.000     1.000     1.000     2.000     2.000     1.000     1.000     0.000     0.000     2.000     0.000     1.549     0.541 108381
     0.000     2.000     0.000     0.000     0.000     0.000     2.000     0.000     0.000     0.000     2.000     0.000    -0.275     0.639 108391
     0.000     1.000     1.000     0.000     0.000     0.000     1.000     0.000     0.000     0.000     0.000     0.000    -0.795     0.600 108401
     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000    -1.999     0.734 108411
     1.000     2.000     2.000     1.000     2.000     0.000     1.000     0.000     0.000     0.000     0.000     0.000     0.515     0.569 108451
     1.000     1.000     2.000     0.000     0.000     0.000     0.000     0.000     1.000     0.000     2.000     0.000     0.050     0.557 108461
     2.000     2.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000    -0.812     0.655 108511
